Groups:
adc_data[11..0] =, adc_data[11], adc_data[10], adc_data[9], adc_data[8], adc_data[7], adc_data[6], adc_data[5], adc_data[4], adc_data[3], adc_data[2], adc_data[1], adc_data[0],  unsigned decimal

Data:
time unit: ns, adc_data[11..0], adc_data[11], adc_data[10], adc_data[9], adc_data[8], adc_data[7], adc_data[6], adc_data[5], adc_data[4], adc_data[3], adc_data[2], adc_data[1], adc_data[0], adc_data_valid, 
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1280, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1300, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1320, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1340, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1360, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1380, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1400, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1420, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1440, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1460, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1480, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1500, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1520, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1540, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1560, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1580, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1600, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1620, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1640, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1660, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1680, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1700, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1720, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1740, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1760, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1780, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1800, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1820, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1840, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1860, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1880, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1900, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1920, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1940, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1960, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
1980, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2000, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2020, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2040, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2060, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2080, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2100, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2120, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2140, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2160, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2180, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2200, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2220, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2240, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2260, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2280, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2300, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2320, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2340, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2360, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2380, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2400, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2420, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2440, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2460, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2480, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2500, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2520, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2540, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2560, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2580, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2600, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2620, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2640, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
2660, 194, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 
